TF	target	y
GRMZM2G105387	GRMZM2G045314	0.574507629735127
GRMZM2G454022	GRMZM2G078198	0.574507629735127
GRMZM2G156737	GRMZM2G106622	0.572324154709955
GRMZM2G176173	GRMZM2G042118	0.565644372504887
GRMZM2G116785	GRMZM2G042118	0.563467571190151
GRMZM2G026742	GRMZM2G080767	0.563467571190151
GRMZM2G097636	GRMZM2G056732	0.563467571190151
GRMZM2G700011	GRMZM2G042118	0.563467571190151
GRMZM2G339848	GRMZM2G041561	0.563429256433151
GRMZM2G016079	GRMZM2G041561	0.561179562603188
GRMZM5G874163	GRMZM2G064594	0.561179562603188
GRMZM2G023988	GRMZM2G056732	0.561179562603188
GRMZM2G026157	GRMZM2G056732	0.561179562603188
GRMZM2G025989	GRMZM2G078198	0.560965156045686
GRMZM2G119133	GRMZM2G058039	0.559918402924948
GRMZM2G302323	GRMZM2G066169	0.559918402924948
GRMZM2G126197	GRMZM2G107437	0.559629345261018
GRMZM2G028622	GRMZM2G042118	0.559307179357229
GRMZM2G017923	GRMZM2G066169	0.559187269019941
GRMZM2G475017	GRMZM2G080767	0.557772664611981
GRMZM2G031200	GRMZM2G058039	0.557772664611981
GRMZM2G037823	GRMZM2G054936	0.557772664611981
GRMZM2G153575	GRMZM2G106622	0.557772664611981
GRMZM2G019446	GRMZM2G051534	0.557772664611981
GRMZM2G075956	GRMZM2G051534	0.557772664611981
GRMZM2G035405	GRMZM2G107437	0.556912006423145
GRMZM2G005066	GRMZM2G054936	0.55602123791809
GRMZM2G156016	GRMZM2G064594	0.55602123791809
GRMZM2G065538	GRMZM2G106622	0.55602123791809
AC195864.3_FG017	GRMZM2G078198	0.555867342284942
GRMZM2G146286	GRMZM2G107437	0.555867342284942
GRMZM2G421212	GRMZM2G051534	0.555867342284942
GRMZM2G151444	GRMZM2G107437	0.555867342284942
GRMZM2G126148	GRMZM2G054936	0.555690561440645
GRMZM2G302323	GRMZM2G023983	0.551019197115833
GRMZM2G414805	GRMZM2G056732	0.549233665542548
GRMZM2G430849	GRMZM2G150631	0.549233665542548
GRMZM2G019446	GRMZM2G064594	0.549233665542548
GRMZM2G109879	GRMZM2G051534	0.549233665542548
GRMZM2G163843	GRMZM2G106622	0.549233665542548
GRMZM2G109627	GRMZM2G047968	0.548297383907851
GRMZM2G138455	GRMZM2G089021	0.547937471211197
GRMZM2G008250	GRMZM2G064594	0.547818033523715
GRMZM2G110582	GRMZM2G066169	0.547818033523715
AC195864.3_FG017	GRMZM2G375999	0.547424684786395
GRMZM2G100794	GRMZM2G078198	0.5465908131199
GRMZM2G087032	GRMZM2G375999	0.542987791244593
GRMZM2G421212	GRMZM2G064594	0.542987791244593
GRMZM2G008250	GRMZM2G045314	0.542987791244593
GRMZM2G046885	GRMZM2G047968	0.542987791244593
GRMZM2G077002	GRMZM2G064594	0.542987791244593
GRMZM5G873586	GRMZM2G042118	0.542471248577419
GRMZM2G014653	GRMZM2G064732	0.541720069380912
GRMZM2G084583	GRMZM2G047968	0.541248906014083
GRMZM2G178102	GRMZM2G078198	0.541248906014083
GRMZM2G396451	GRMZM2G078198	0.541248906014083
GRMZM2G087233	GRMZM2G042118	0.541248906014083
GRMZM2G166946	GRMZM2G047968	0.539602370813137
GRMZM2G151266	GRMZM2G078198	0.539602370813137
GRMZM2G032905	GRMZM2G047968	0.538862097767251
GRMZM2G058451	GRMZM2G047968	0.538862097767251
